step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
31000,10,2.069238,0.594813,0.295516,0.102358,4.4964,89.69
31000,11,2.48826,0.77299,0.612196,0.227324,4.4964,89.69
32000,0,1.042466,0.156032,0.002579,0.001313,4.4818,88.39
32000,1,1.3788,0.294041,0.0181,0.007984,4.4818,88.39
32000,2,1.446133,0.335418,0.038186,0.015301,4.4818,88.39
32000,3,1.476492,0.189707,0.031439,0.014242,4.4818,88.39
32000,4,1.470071,0.174323,0.024064,0.012012,4.4818,88.39
32000,5,1.396295,0.234982,0.061931,0.039547,4.4818,88.39
32000,6,1.466814,0.436893,0.06224,0.061241,4.4818,88.39
32000,7,1.344143,0.36165,0.082281,0.059385,4.4818,88.39
32000,8,1.569509,0.413225,0.154891,0.054177,4.4818,88.39
32000,9,1.705057,0.396703,0.192142,0.054582,4.4818,88.39
32000,10,2.032596,0.575291,0.287297,0.099324,4.4818,88.39
32000,11,2.495595,0.772052,0.617068,0.227062,4.4818,88.39
33000,0,1.042684,0.161034,0.00262,0.001284,4.4751,87.81
33000,1,1.383057,0.29948,0.01933,0.008633,4.4751,87.81
33000,2,1.469958,0.346483,0.038661,0.015672,4.4751,87.81
33000,3,1.482819,0.190069,0.030686,0.013786,4.4751,87.81
33000,4,1.503989,0.181131,0.02336,0.011643,4.4751,87.81
33000,5,1.396101,0.23365,0.060427,0.039735,4.4751,87.81
33000,6,1.479256,0.44351,0.060393,0.059663,4.4751,87.81
33000,7,1.37776,0.378157,0.079391,0.058146,4.4751,87.81
33000,8,1.618365,0.435002,0.151446,0.051229,4.4751,87.81
33000,9,1.756404,0.421644,0.193705,0.055503,4.4751,87.81
33000,10,2.11036,0.620256,0.305692,0.105634,4.4751,87.81
33000,11,2.544788,0.791419,0.608076,0.221793,4.4751,87.81
34000,0,1.044165,0.162126,0.002797,0.001359,4.4551,86.06
34000,1,1.389058,0.300525,0.018322,0.008437,4.4551,86.06
